CDH1,VIM,ASCL2,TCF4,MYC,CDKN2B,TIMP2,ZEB1
225.2076,148.629,35.4906,4.4025,163.9366,1.4641,19.8419,4.8401
586.2398,183.0509,254.2697,2.9382,161.0832,8.6687,139.2195,6.0554
373.0855,156.2993,180.2998,7.4251,108.7611,17.9304,145.3692,14.2529
540.6798,96.0476,282.1332,2.8625,157.3086,25.037,91.7842,4.0271
195.1459,58.8075,156.4365,0.5577,125.7081,5.9178,46.2765,1.4103
584.6267,79.6401,337.5952,3.7586,153.1978,9.3367,88.3629,10.2485
228.8682,164.8093,2.7,4.7404,121.5426,11.3606,158.8672,7.4846
392.149,36.1834,272.6417,2.3184,182.266,8.7822,37.862,3.6229
397.7932,82.9126,4.9745,2.7387,39.0471,103.6949,55.0861,8.5205
541.6995,103.9923,446.7172,3.5588,428.2122,7.8115,98.0258,7.0563
355.5566,53.2699,8.3837,1.7383,194.2855,3.1274,57.9357,2.6627
299.3828,40.279,109.118,1.9458,82.6043,3.5375,16.6083,3.0454
338.0424,66.0569,241.1341,2.0499,216.3915,14.2102,71.619,4.7881
225.7983,79.8401,83.3684,3.6349,66.294,8.7232,112.5872,6.6307
82.5671,28.7773,1.1243,3.1984,10.4174,4.1992,41.7956,6.3016
300.3865,105.1558,253.2921,2.4562,88.5053,7.1273,101.111,3.815
208.1398,93.7445,283.02,2.4874,152.8721,23.7914,117.624,3.8435
313.5951,44.2392,119.6508,1.9507,125.0643,4.8866,16.8968,3.3235
282.5507,57.9808,286.1273,2.395,276.8809,2.9676,47.063,4.2049
468.0376,48.4885,368.4681,1.1069,356.1886,2.3346,22.372,1.9021
400.2531,89.75,73.0888,4.3894,149.9916,7.0057,108.2457,6.4118
383.3105,42.047,120.5497,5.2374,233.2515,7.2177,21.1403,7.7051
484.1301,94.7932,117.0372,3.1477,130.8925,20.0855,100.8725,3.9244
146.3265,66.2157,119.0592,1.1989,103.6203,7.3675,77.5616,2.1815
214.6038,54.9353,98.9051,1.2032,86.9251,1.6273,22.0804,1.4477
264.9161,159.2384,2.1885,7.2758,42.8088,37.2616,97.178,13.9341
517.0984,74.1658,107.5888,2.96,174.6952,7.4669,77.9907,3.8904
153.336,132.9109,38.1506,1.1469,161.3954,6.8534,63.8738,2.2637
196.0983,68.2452,149.3341,3.0638,134.4482,9.0923,49.1769,5.5992
212.216,116.792,369.3518,1.2671,248.2736,6.5583,68.8889,1.9837
610.9848,60.107,152.9222,3.6666,467.1284,27.1712,34.7063,5.8356
589.7348,147.8805,273.9452,4.3999,587.3386,13.4067,116.2097,8.2762
788.5058,163.1872,243.977,6.9932,204.9217,17.6478,279.4792,15.2745
373.957,34.1603,191.7789,1.2527,173.824,15.6946,24.0222,1.5415
207.1824,305.7077,186.9176,3.4626,131.5957,9.5409,217.1828,7.0758
380.5236,104.617,226.4623,4.7846,212.2084,9.2775,150.6848,8.2376
582.9499,16.2208,293.9663,0.5987,150.6307,13.6708,16.9466,1.1483
380.6805,56.7854,370.6681,1.614,161.6408,4.6447,45.0447,4.8869
581.2286,102.2482,184.1438,4.3642,327.0056,10.4617,123.0741,7.6227
240.2127,76.2674,769.4751,1.9657,295.7516,13.5136,96.9293,5.2391
407.7581,87.5071,10.6558,2.6246,51.7651,100.7508,54.5524,3.0051
272.2561,99.6981,544.3484,2.8488,363.7903,21.577,139.861,5.3261
740.1478,83.0008,222.4896,4.6154,223.417,8.2672,124.9914,7.2694
272.0294,176.7239,78.0446,5.2823,132.2854,22.53,174.4238,8.4087
392.3091,190.4807,193.7236,6.4066,105.7353,7.197,133.0675,12.877
78.0647,82.4014,8.0704,8.1391,34.3957,5.0554,60.5592,10.6385
368.834,40.7926,97.4445,1.161,69.323,11.2211,46.5121,2.2567
221.7364,71.9998,6.0885,2.2955,137.8441,7.3646,71.0879,4.1063
383.1282,21.6974,324.6431,0.3039,82.0438,33.527,101.812,1.0733
370.2572,93.8982,172.6843,1.6304,305.2464,21.7133,40.85,3.6591
